Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
160		0.0209		0.3158		0.9826		0.8720		0.00035430
161		0.0209		0.3100		0.9826		0.8752		0.00035337
162		0.0197		0.3462		0.9838		0.8659		0.00035243
163		0.0222		0.3502		0.9814		0.8655		0.00035150
164		0.0201		0.3759		0.9834		0.8560		0.00035056
165		0.0199		0.3321		0.9837		0.8705		0.00034962
166		0.0194		0.3517		0.9839		0.8616		0.00034869
167		0.0200		0.3975		0.9833		0.8477		0.00034775
168		0.0199		0.4450		0.9834		0.8380		0.00034681
169		0.0198		0.3590		0.9835		0.8551		0.00034588
170		0.0193		0.4020		0.9838		0.8488		0.00034494
171		0.0192		0.3546		0.9838		0.8643		0.00034400
172		0.0193		0.3477		0.9839		0.8713		0.00034306
173		0.0189		0.4098		0.9842		0.8543		0.00034212
174		0.0201		0.3690		0.9833		0.8639		0.00034119
175		0.0192		0.3343		0.9838		0.8786		0.00034025
176		0.0211		0.4243		0.9828		0.8437		0.00033931
177		0.0207		0.3265		0.9827		0.8728		0.00033837
178		0.0201		0.4220		0.9833		0.8520		0.00033743
179		0.0196		0.2995		0.9836		0.8869		0.00033649
180		0.0208		0.4766		0.9830		0.8308		0.00033555
181		0.0264		0.4676		0.9789		0.8387		0.00033460
182		0.0296		0.3018		0.9763		0.8726		0.00033366
183		0.0242		0.2876		0.9804		0.8802		0.00033272
184		0.0225		0.2610		0.9813		0.8702		0.00033178
185		0.0226		0.3423		0.9814		0.8573		0.00033084
186		0.0212		0.3114		0.9821		0.8795		0.00032990
187		0.0196		0.2751		0.9836		0.8854		0.00032895
188		0.0196		0.3282		0.9836		0.8798		0.00032801
189		0.0187		0.3716		0.9844		0.8697		0.00032707
190		0.0187		0.3032		0.9843		0.8855		0.00032612
191		0.0183		0.2999		0.9846		0.8900		0.00032518
192		0.0198		0.2992		0.9837		0.8897		0.00032423
193		0.0193		0.2453		0.9838		0.9010		0.00032329
194		0.0188		0.3068		0.9843		0.8827		0.00032235
195		0.0182		0.2888		0.9847		0.8881		0.00032140
196		0.0182		0.3138		0.9847		0.8840		0.00032045
197		0.0185		0.2572		0.9843		0.8977		0.00031951
198		0.0190		0.2693		0.9840		0.8915		0.00031856
199		0.0195		0.3288		0.9838		0.8785		0.00031762
200		0.0200		0.4066		0.9832		0.8546		0.00031667
201		0.0191		0.4175		0.9839		0.8652		0.00031572
202		0.0177		0.2957		0.9851		0.8855		0.00031478
203		0.0185		0.3820		0.9845		0.8672		0.00031383
204		0.0245		0.3293		0.9808		0.8944		0.00031288
205		0.0288		0.3107		0.9764		0.8664		0.00031193
206		0.0244		0.3997		0.9801		0.8374		0.00031098
207		0.0257		0.3804		0.9789		0.8531		0.00031003
208		0.0260		0.2976		0.9794		0.8687		0.00030908
209		0.0275		0.3637		0.9775		0.8576		0.00030814
210		0.0232		0.3222		0.9808		0.8678		0.00030719
211		0.0226		0.4206		0.9816		0.8411		0.00030624
212		0.0195		0.3607		0.9836		0.8637		0.00030528
213		0.0198		0.4018		0.9837		0.8471		0.00030433
214		0.0194		0.3984		0.9836		0.8601		0.00030338
215		0.0187		0.3711		0.9843		0.8703		0.00030243
216		0.0187		0.4490		0.9844		0.8480		0.00030148
217		0.0178		0.4409		0.9848		0.8464		0.00030053
218		0.0179		0.4261		0.9849		0.8581		0.00029957
219		0.0176		0.4360		0.9852		0.8502		0.00029862
220		0.0174		0.4665		0.9853		0.8434		0.00029767
221		0.0178		0.3569		0.9849		0.8719		0.00029671
222		0.0195		0.5429		0.9840		0.8367		0.00029576
223		0.0184		0.3626		0.9844		0.8611		0.00029481
224		0.0189		0.4671		0.9843		0.8437		0.00029385
225		0.0188		0.3442		0.9842		0.8707		0.00029290
