Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
281		0.0167		0.3337		0.9850		0.8746		0.00037202
282		0.0177		0.3001		0.9843		0.8788		0.00037156
283		0.0171		0.3963		0.9846		0.8555		0.00037109
284		0.0179		0.4506		0.9842		0.8461		0.00037063
285		0.0171		0.3643		0.9848		0.8643		0.00037016
286		0.0155		0.4007		0.9862		0.8554		0.00036970
287		0.0154		0.3509		0.9860		0.8786		0.00036923
288		0.0147		0.4014		0.9869		0.8646		0.00036877
289		0.0151		0.5003		0.9861		0.8456		0.00036830
290		0.0171		0.2746		0.9848		0.8953		0.00036783
291		0.0161		0.3349		0.9856		0.8823		0.00036737
292		0.0165		1.5416		0.9855		0.6351		0.00036690
293		0.0174		0.2919		0.9847		0.8819		0.00036644
294		0.0187		0.4260		0.9836		0.8527		0.00036597
295		0.0269		0.3212		0.9773		0.8359		0.00036551
296		0.0416		0.2839		0.9639		0.8786		0.00036504
297		0.0462		0.3913		0.9602		0.8194		0.00036457
298		0.0345		0.3014		0.9700		0.8697		0.00036411
299		0.0237		0.3693		0.9794		0.8559		0.00036364
300		0.0211		0.3187		0.9807		0.8808		0.00036318
301		0.0212		0.3938		0.9818		0.8359		0.00036271
302		0.0181		0.3640		0.9838		0.8647		0.00036224
303		0.0170		0.3567		0.9844		0.8729		0.00036178
304		0.0163		0.3263		0.9853		0.8746		0.00036131
305		0.0167		0.3675		0.9850		0.8698		0.00036084
306		0.0160		0.4178		0.9855		0.8589		0.00036038
307		0.0163		0.3983		0.9855		0.8634		0.00035991
308		0.0175		0.4608		0.9844		0.8368		0.00035944
309		0.0167		0.3434		0.9853		0.8506		0.00035898
310		0.0189		0.5097		0.9831		0.8306		0.00035851
311		0.0191		0.2788		0.9838		0.8732		0.00035804
312		0.0181		0.4250		0.9840		0.8489		0.00035758
313		0.0162		0.3376		0.9857		0.8744		0.00035711
314		0.0159		0.3776		0.9856		0.8664		0.00035664
315		0.0156		0.4214		0.9861		0.8510		0.00035617
316		0.0152		0.3694		0.9863		0.8726		0.00035571
317		0.0151		0.3494		0.9864		0.8764		0.00035524
318		0.0142		0.6682		0.9871		0.8087		0.00035477
319		0.0142		0.4652		0.9869		0.8476		0.00035430
320		0.0137		0.3499		0.9877		0.8766		0.00035384
321		0.0138		0.4780		0.9875		0.8391		0.00035337
322		0.0142		0.4591		0.9873		0.8424		0.00035290
323		0.0149		0.2924		0.9867		0.8934		0.00035243
324		0.0191		0.3859		0.9828		0.8628		0.00035197
325		0.0183		0.4758		0.9840		0.8393		0.00035150
326		0.0195		0.4029		0.9826		0.8527		0.00035103
327		0.0254		0.4206		0.9784		0.8515		0.00035056
328		0.0205		0.3123		0.9818		0.8830		0.00035009
329		0.0181		0.3604		0.9839		0.8639		0.00034962
330		0.0208		0.5752		0.9818		0.8060		0.00034916
331		0.0371		0.2928		0.9684		0.8529		0.00034869
332		0.0451		0.5193		0.9634		0.7838		0.00034822
333		0.0529		0.7739		0.9556		0.7105		0.00034775
334		0.0323		0.2949		0.9720		0.8858		0.00034728
335		0.0237		0.4883		0.9789		0.8297		0.00034681
336		0.0195		0.3745		0.9826		0.8625		0.00034635
337		0.0178		0.3250		0.9839		0.8790		0.00034588
338		0.0171		0.4008		0.9847		0.8619		0.00034541
339		0.0167		0.3448		0.9849		0.8748		0.00034494
340		0.0161		0.3281		0.9856		0.8780		0.00034447
341		0.0155		0.3552		0.9861		0.8671		0.00034400
342		0.0159		0.3890		0.9859		0.8571		0.00034353
343		0.0158		0.3590		0.9859		0.8658		0.00034306
344		0.0149		0.3490		0.9867		0.8805		0.00034259
345		0.0150		0.3537		0.9866		0.8751		0.00034212
346		0.0144		0.4241		0.9868		0.8591		0.00034165
347		0.0144		0.3851		0.9870		0.8629		0.00034119
348		0.0139		0.3315		0.9875		0.8833		0.00034072
349		0.0143		0.3488		0.9872		0.8775		0.00034025
350		0.0144		0.3589		0.9871		0.8743		0.00033978
351		0.0142		0.3076		0.9874		0.8821		0.00033931
352		0.0174		0.4432		0.9849		0.8374		0.00033884
353		0.0153		0.3686		0.9861		0.8624		0.00033837
354		0.0145		0.3850		0.9868		0.8572		0.00033790
355		0.0140		0.3682		0.9872		0.8683		0.00033743
356		0.0231		0.4655		0.9806		0.8420		0.00033696
357		0.0499		0.3456		0.9572		0.8360		0.00033649
358		0.0401		0.3119		0.9650		0.8667		0.00033602
359		0.0453		0.3882		0.9629		0.8640		0.00033555
360		0.0438		0.4540		0.9630		0.8302		0.00033508
361		0.0268		0.3784		0.9763		0.8498		0.00033460
362		0.0202		0.3723		0.9823		0.8574		0.00033413
363		0.0186		0.3334		0.9832		0.8728		0.00033366
364		0.0186		0.3729		0.9832		0.8546		0.00033319
365		0.0170		0.4253		0.9847		0.8511		0.00033272
366		0.0163		0.4413		0.9852		0.8482		0.00033225
367		0.0156		0.3730		0.9861		0.8559		0.00033178
368		0.0157		0.3541		0.9858		0.8690		0.00033131
369		0.0147		0.3902		0.9868		0.8589		0.00033084
370		0.0145		0.3802		0.9870		0.8664		0.00033037
371		0.0147		0.2840		0.9867		0.8868		0.00032990
372		0.0148		0.3719		0.9867		0.8679		0.00032942
373		0.0148		0.3530		0.9866		0.8648		0.00032895
374		0.0154		0.3860		0.9863		0.8549		0.00032848
375		0.0144		0.3717		0.9869		0.8619		0.00032801
