Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
181		0.0208		0.3087		0.9826		0.8725		0.00033460
182		0.0201		0.3605		0.9834		0.8584		0.00033366
183		0.0206		0.4832		0.9830		0.8257		0.00033272
184		0.0208		0.3192		0.9826		0.8771		0.00033178
185		0.0211		0.3301		0.9826		0.8711		0.00033084
186		0.0202		0.3525		0.9832		0.8581		0.00032990
187		0.0212		0.4567		0.9828		0.8244		0.00032895
188		0.0204		0.3889		0.9830		0.8468		0.00032801
189		0.0303		0.5955		0.9748		0.7940		0.00032707
190		0.0427		0.3598		0.9657		0.8107		0.00032612
191		0.0365		0.4121		0.9705		0.8367		0.00032518
192		0.0279		0.3255		0.9776		0.8647		0.00032423
193		0.0234		0.3039		0.9811		0.8847		0.00032329
194		0.0550		1.3684		0.9593		0.5232		0.00032235
195		0.0894		0.3730		0.9320		0.8223		0.00032140
196		0.0587		0.3817		0.9540		0.8157		0.00032045
197		0.0439		0.2970		0.9655		0.8622		0.00031951
198		0.0303		0.3456		0.9756		0.8501		0.00031856
199		0.0273		0.3218		0.9782		0.8569		0.00031762
200		0.0252		0.3495		0.9795		0.8548		0.00031667
201		0.0242		0.4410		0.9805		0.8233		0.00031572
202		0.0225		0.3772		0.9816		0.8508		0.00031478
203		0.0245		0.8878		0.9800		0.7124		0.00031383
204		0.0247		0.3229		0.9800		0.8616		0.00031288
205		0.0219		0.4821		0.9819		0.8142		0.00031193
206		0.0205		0.4012		0.9831		0.8500		0.00031098
207		0.0200		0.4231		0.9831		0.8455		0.00031003
208		0.0221		0.4513		0.9818		0.8291		0.00030908
209		0.0224		0.3122		0.9812		0.8755		0.00030814
210		0.0211		0.3641		0.9824		0.8577		0.00030719
211		0.0258		0.4915		0.9792		0.8032		0.00030624
212		0.0233		0.4775		0.9806		0.8281		0.00030528
213		0.0206		0.4011		0.9829		0.8480		0.00030433
214		0.0196		0.3864		0.9839		0.8458		0.00030338
215		0.0191		0.4084		0.9840		0.8423		0.00030243
216		0.0184		0.4805		0.9849		0.8154		0.00030148
217		0.0190		0.3166		0.9843		0.8735		0.00030053
218		0.0181		0.4352		0.9849		0.8326		0.00029957
219		0.0183		0.4420		0.9850		0.8395		0.00029862
220		0.0200		0.2709		0.9834		0.8857		0.00029767
221		0.0198		0.3335		0.9836		0.8639		0.00029671
222		0.0185		0.2958		0.9846		0.8707		0.00029576
223		0.0186		0.3506		0.9847		0.8646		0.00029481
224		0.0178		0.3682		0.9851		0.8562		0.00029385
225		0.0176		0.4665		0.9852		0.8363		0.00029290
226		0.0168		0.3870		0.9859		0.8537		0.00029194
227		0.0177		0.3598		0.9854		0.8647		0.00029099
228		0.0171		0.3998		0.9855		0.8574		0.00029003
229		0.0172		0.3621		0.9857		0.8612		0.00028907
