Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
123		0.0979		0.4085		0.9228		0.7810		0.00027372
124		0.0631		0.3763		0.9504		0.8210		0.00027180
125		0.0522		0.5567		0.9592		0.7463		0.00026987
126		0.0420		0.3322		0.9670		0.8458		0.00026794
127		0.0425		0.3206		0.9660		0.8446		0.00026601
128		0.0374		0.2845		0.9705		0.8707		0.00026408
129		0.0372		0.2482		0.9707		0.8738		0.00026215
130		0.0361		0.2453		0.9708		0.8784		0.00026021
131		0.0337		0.2841		0.9731		0.8606		0.00025828
132		0.0386		0.2682		0.9696		0.8723		0.00025634
133		0.0337		0.2583		0.9723		0.8830		0.00025440
134		0.0323		0.3205		0.9740		0.8557		0.00025246
135		0.0327		0.2872		0.9738		0.8691		0.00025052
136		0.0323		0.3379		0.9743		0.8524		0.00024857
137		0.0329		0.3218		0.9732		0.8610		0.00024663
138		0.0325		0.3117		0.9738		0.8723		0.00024468
139		0.0294		0.3130		0.9763		0.8669		0.00024273
140		0.0326		0.3508		0.9742		0.8505		0.00024078
141		0.0365		0.4182		0.9715		0.8129		0.00023882
142		0.0415		0.3636		0.9661		0.8365		0.00023687
143		0.0336		0.3193		0.9727		0.8641		0.00023491
144		0.0317		0.3252		0.9741		0.8622		0.00023295
145		0.0323		0.3070		0.9737		0.8660		0.00023099
146		0.0297		0.3234		0.9758		0.8698		0.00022903
147		0.0290		0.3645		0.9766		0.8476		0.00022707
148		0.0281		0.3045		0.9773		0.8740		0.00022510
149		0.0282		0.3137		0.9772		0.8636		0.00022313
150		0.0289		0.3414		0.9764		0.8565		0.00022116
151		0.0311		0.2943		0.9748		0.8763		0.00021919
152		0.0298		0.2900		0.9759		0.8753		0.00021722
153		0.0276		0.3170		0.9776		0.8651		0.00021524
154		0.0269		0.3432		0.9781		0.8656		0.00021326
155		0.0275		0.2724		0.9772		0.8793		0.00021128
156		0.0278		0.3988		0.9774		0.8374		0.00020930
157		0.0273		0.3347		0.9779		0.8671		0.00020732
158		0.0287		0.4208		0.9769		0.8342		0.00020533
159		0.0347		0.5336		0.9719		0.7707		0.00020334
160		0.0702		0.2839		0.9498		0.8677		0.00020135
161		0.0467		0.3996		0.9624		0.8228		0.00019936
162		0.0353		0.3488		0.9715		0.8463		0.00019737
163		0.0329		0.3314		0.9745		0.8614		0.00019537
164		0.0304		0.2791		0.9750		0.8659		0.00019337
165		0.0314		0.2927		0.9744		0.8719		0.00019137
166		0.0276		0.3124		0.9776		0.8662		0.00018937
167		0.0271		0.3083		0.9776		0.8687		0.00018736
168		0.0274		0.3130		0.9774		0.8600		0.00018535
169		0.0262		0.3104		0.9784		0.8658		0.00018334
170		0.0256		0.3620		0.9789		0.8463		0.00018133
171		0.0253		0.3006		0.9790		0.8720		0.00017931
172		0.0251		0.3274		0.9793		0.8610		0.00017729
173		0.0254		0.3252		0.9791		0.8717		0.00017527
174		0.0247		0.3346		0.9796		0.8661		0.00017325
175		0.0239		0.3009		0.9806		0.8753		0.00017122
176		0.0244		0.3047		0.9802		0.8739		0.00016919
177		0.0238		0.3067		0.9801		0.8734		0.00016716
178		0.0339		0.3694		0.9728		0.8368		0.00016513
179		0.0416		0.4784		0.9673		0.8182		0.00016309
180		0.0351		0.3156		0.9713		0.8635		0.00016105
181		0.0291		0.3221		0.9760		0.8682		0.00015901
182		0.0271		0.3512		0.9779		0.8576		0.00015696
183		0.0256		0.3519		0.9790		0.8583		0.00015491
184		0.0260		0.3056		0.9783		0.8714		0.00015286
185		0.0260		0.3158		0.9788		0.8672		0.00015080
186		0.0250		0.3288		0.9794		0.8691		0.00014875
187		0.0256		0.3528		0.9789		0.8584		0.00014669
188		0.0241		0.3769		0.9801		0.8514		0.00014462
189		0.0234		0.3236		0.9808		0.8691		0.00014255
