Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
331		0.0138		0.3567		0.9882		0.8753		0.00018937
332		0.0136		0.3928		0.9884		0.8668		0.00018836
333		0.0134		0.3619		0.9889		0.8697		0.00018736
334		0.0133		0.4102		0.9889		0.8529		0.00018636
335		0.0142		0.4916		0.9883		0.8314		0.00018535
336		0.0133		0.4140		0.9886		0.8540		0.00018435
337		0.0129		0.3660		0.9892		0.8716		0.00018334
338		0.0134		0.3912		0.9887		0.8652		0.00018233
339		0.0135		0.4054		0.9885		0.8546		0.00018133
340		0.0130		0.3653		0.9891		0.8702		0.00018032
341		0.0132		0.5913		0.9888		0.8213		0.00017931
342		0.0278		0.6031		0.9781		0.7275		0.00017830
343		0.0327		0.2535		0.9738		0.8877		0.00017729
344		0.0228		0.4762		0.9813		0.8229		0.00017628
345		0.0168		0.3101		0.9862		0.8741		0.00017527
346		0.0153		0.3514		0.9876		0.8642		0.00017426
347		0.0150		0.3623		0.9874		0.8706		0.00017325
348		0.0146		0.4028		0.9879		0.8644		0.00017223
349		0.0136		0.4033		0.9886		0.8651		0.00017122
350		0.0135		0.3524		0.9887		0.8730		0.00017021
351		0.0132		0.3387		0.9889		0.8757		0.00016919
352		0.0129		0.4071		0.9892		0.8653		0.00016818
353		0.0131		0.3595		0.9889		0.8717		0.00016716
354		0.0129		0.4256		0.9890		0.8573		0.00016614
355		0.0133		0.4013		0.9888		0.8598		0.00016513
356		0.0132		0.3377		0.9891		0.8736		0.00016411
357		0.0132		0.4188		0.9891		0.8599		0.00016309
358		0.0134		0.5865		0.9887		0.8161		0.00016207
359		0.0129		0.3534		0.9891		0.8706		0.00016105
360		0.0127		0.4101		0.9895		0.8597		0.00016003
361		0.0122		0.4319		0.9897		0.8590		0.00015901
362		0.0124		0.4125		0.9895		0.8611		0.00015798
363		0.0122		0.4078		0.9898		0.8633		0.00015696
364		0.0121		0.3803		0.9899		0.8706		0.00015594
365		0.0130		0.4084		0.9889		0.8640		0.00015491
366		0.0126		0.3797		0.9892		0.8689		0.00015389
367		0.0126		0.3555		0.9893		0.8737		0.00015286
368		0.0127		0.4449		0.9893		0.8494		0.00015183
369		0.0125		0.3653		0.9895		0.8705		0.00015080
370		0.0121		0.3807		0.9898		0.8693		0.00014978
371		0.0120		0.4097		0.9898		0.8681		0.00014875
372		0.0130		0.3711		0.9890		0.8670		0.00014772
373		0.0131		0.3477		0.9890		0.8753		0.00014669
374		0.0128		0.3755		0.9893		0.8699		0.00014565
375		0.0121		0.4149		0.9898		0.8650		0.00014462
376		0.0392		0.3315		0.9699		0.7851		0.00014359
377		0.0650		0.3428		0.9516		0.8535		0.00014255
378		0.0334		0.4102		0.9739		0.8376		0.00014152
379		0.0211		0.3194		0.9833		0.8610		0.00014048
380		0.0176		0.4078		0.9859		0.8433		0.00013945
381		0.0161		0.3757		0.9868		0.8561		0.00013841
382		0.0150		0.3360		0.9876		0.8665		0.00013737
383		0.0145		0.3453		0.9881		0.8641		0.00013633
384		0.0141		0.3423		0.9883		0.8650		0.00013529
385		0.0142		0.3986		0.9881		0.8514		0.00013425
386		0.0139		0.3683		0.9884		0.8617		0.00013321
387		0.0142		0.3483		0.9883		0.8664		0.00013216
388		0.0151		0.4116		0.9878		0.8533		0.00013112
389		0.0134		0.3896		0.9890		0.8616		0.00013007
390		0.0133		0.3753		0.9887		0.8646		0.00012903
391		0.0135		0.3905		0.9888		0.8566		0.00012798
392		0.0131		0.4250		0.9892		0.8537		0.00012693
393		0.0134		0.5142		0.9887		0.8232		0.00012589
394		0.0127		0.4274		0.9895		0.8514		0.00012484
395		0.0126		0.4202		0.9894		0.8523		0.00012379
396		0.0120		0.4401		0.9898		0.8503		0.00012273
397		0.0128		0.4057		0.9893		0.8631		0.00012168
398		0.0123		0.4164		0.9895		0.8597		0.00012063
399		0.0126		0.3753		0.9893		0.8642		0.00011957
400		0.0123		0.3718		0.9897		0.8669		0.00011852
401		0.0129		0.4124		0.9891		0.8533		0.00011746
402		0.0122		0.3671		0.9897		0.8707		0.00011640
403		0.0120		0.3760		0.9902		0.8634		0.00011535
404		0.0129		0.3695		0.9894		0.8610		0.00011429
405		0.0119		0.4175		0.9898		0.8534		0.00011322
406		0.0119		0.4331		0.9900		0.8495		0.00011216
407		0.0123		0.4416		0.9899		0.8463		0.00011110
408		0.0122		0.3443		0.9897		0.8720		0.00011004
409		0.0117		0.3874		0.9900		0.8647		0.00010897
410		0.0121		0.3886		0.9899		0.8596		0.00010790
411		0.0117		0.4101		0.9900		0.8577		0.00010684
412		0.0116		0.3976		0.9903		0.8634		0.00010577
413		0.0115		0.4337		0.9903		0.8515		0.00010470
414		0.0115		0.3761		0.9903		0.8691		0.00010362
415		0.0111		0.3917		0.9906		0.8639		0.00010255
416		0.0110		0.4080		0.9908		0.8625		0.00010148
417		0.0113		0.4217		0.9903		0.8541		0.00010040
418		0.0116		0.3883		0.9904		0.8665		0.00009933
419		0.0112		0.3502		0.9905		0.8742		0.00009825
420		0.0113		0.3622		0.9904		0.8708		0.00009717
421		0.0115		0.4077		0.9903		0.8628		0.00009609
422		0.0115		0.4323		0.9903		0.8563		0.00009501
423		0.0114		0.4742		0.9904		0.8445		0.00009393
424		0.0111		0.4054		0.9905		0.8616		0.00009284
425		0.0114		0.4064		0.9903		0.8611		0.00009175
426		0.0114		0.4098		0.9903		0.8595		0.00009067
427		0.0114		0.4202		0.9903		0.8615		0.00008958
